timestep,plant_id,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume_res
42,49920,80.20683020682316,0.0,0.0,102.11999999999571,80.20683020682316,1891.7555410755429
42,49921,0.0,0.0,0.0,0.0,0.0,0.0
42,49922,102.11999999999571,0.0,0.0,78.37893939393712,102.11999999999571,301.3790301655155
42,49923,20.0189393939419,0.0,0.0,20.019437291114365,20.0189393939419,0.0
42,49924,58.35999999998929,0.0,0.0,70.02750023342527,58.35999999998929,18675.093176405688
42,49925,70.02750023342527,0.0,0.0,7.514999924850025,70.02750023342527,290883.41572712414
42,49927,7.514999924850025,0.0,0.0,0.0,7.514999924850025,93496.2425
42,49928,10.059999999998617,0.0,0.0,10.060502949699984,10.059999999998617,0.0
42,49929,9.959437291114407,0.0,0.0,0.0,9.959437291114407,25991.395045641097
42,49930,2.7499999725000004,7.310502977200009,0.0,0.0,10.060502949699984,24993.712499999983
42,49931,2.4902328203518924,0.0,7.46920447076249,9.959437291114407,9.959437291114407,0.0
43,49900,0.0,150.53715763101783,0.0,150.56477545184805,150.53715763101783,0.0
43,49901,0.0,0.0,0.0,0.0,0.0,0.0
43,49902,0.0,0.0,82.7841385861,56.250000187500056,82.7841385861,231.78710355406884
43,49903,56.250000187500056,0.0,0.0,56.250000187500056,56.250000187500056,0.0
43,49904,0.0,0.0,0.0,0.0,0.0,0.0
43,49905,56.250000187500056,0.0,0.0,0.0,56.250000187500056,415.74305982419344
43,49906,67.78477545184725,0.0,0.0,93.24683020684313,67.78477545184725,184508.2364924311
43,49907,82.78000000001876,0.0,0.0,82.7841385861,82.78000000001876,0.0
43,49908,0.0,0.0,0.0,0.0,0.0,0.0
43,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18435.922338004322
43,49912,0.0,0.0,0.0,0.0,0.0,32500.0
43,49913,0.0,0.0,0.0,0.0,0.0,0.0
43,49914,0.0,0.0,0.0,0.0,0.0,0.0
43,49915,0.0,0.0,0.0,0.0,0.0,3000.0
43,49920,80.20683020682316,0.0,0.0,76.59510574469982,80.20683020682316,1890.8513335238354
43,49921,5.820766091345382e-15,0.0,0.0,0.0,5.820766091345382e-15,0.0
43,49922,76.59510574469982,0.0,0.0,78.37893939393712,76.59510574469982,301.82626501400034
43,49923,20.0189393939419,0.0,0.0,20.020931281407588,20.0189393939419,0.0
43,49924,58.35999999998929,0.0,0.0,46.68966850000011,58.35999999998929,18672.174426405687
43,49925,46.68966850000011,0.0,0.0,7.822337034941942,46.68966850000011,290873.70043711487
43,49927,7.822337034941942,0.0,0.0,0.0,7.822337034941942,93494.28654000927
43,49928,10.059999999998617,0.0,0.0,10.060000000000025,10.059999999998617,0.0
43,49929,8.001600080000005,0.0,1.9593312014075774,0.0,9.960931281407534,25988.905310792612
43,49930,5.265502997649995,4.794497002350014,0.0,0.0,10.060000000000025,24991.197499999984
43,49931,0.0,0.0,9.960931281407555,9.960931281407534,9.960931281407555,0.0
44,49900,0.0,0.0,140.82615364102543,140.84907321071813,140.82615364102543,0.0
44,49901,0.0,0.0,0.0,0.0,0.0,0.0
44,49902,0.0,0.0,82.7841385861,53.349378284149,82.7841385861,224.42938551539987
44,49903,53.349378284149,0.0,0.0,53.35287768683281,53.349378284149,0.0
44,49904,0.0,0.0,0.0,0.0,0.0,0.0
44,49905,53.35287768683281,0.0,0.0,0.0,53.35287768683281,402.4057778628624
44,49906,58.069073210717455,0.0,0.0,93.2468302068192,58.069073210717455,184517.02961920854
44,49907,82.78000000001876,0.0,0.0,82.7841385861,82.78000000001876,0.0
44,49908,0.0,0.0,0.0,0.0,0.0,0.0
44,49911,13.039999999997196,0.0,0.0,0.0,13.039999999997196,18432.662338004324
44,49912,0.0,0.0,0.0,0.0,0.0,32500.0
44,49913,0.0,0.0,0.0,0.0,0.0,0.0
44,49914,0.0,0.0,0.0,0.0,0.0,0.0
44,49915,0.0,0.0,0.0,0.0,0.0,3000.0
44,49920,80.20683020682316,0.0,0.0,76.59510574469982,80.20683020682316,1889.9471259721279
44,49921,5.820766091345382e-15,0.0,0.0,0.0,5.820766091345382e-15,0.0
44,49922,76.59510574469982,0.0,0.0,68.77117737243687,76.59510574469982,299.8717894614408
44,49923,10.411177372437013,0.0,0.0,10.412178318901454,10.411177372437013,0.0
44,49924,58.35999999998929,0.0,0.0,46.68966850000011,58.35999999998929,18669.255676405686
44,49925,46.68966850000011,0.0,0.0,0.0,46.68966850000011,290862.02918711485
44,49927,0.0,0.0,0.0,0.0,0.0,93494.28654000927
44,49928,10.034739901262526,0.0,0.0,10.034739901262512,10.034739901262526,0.0
44,49929,0.37743841763889036,0.0,0.0,0.0,0.37743841763889036,25988.810970057293
44,49930,2.5155030251500072,5.029999949685436,2.4892369264270435,0.0,10.034739901262512,24988.688816287864
44,49931,0.0,0.0,0.37743841763889036,0.37743841763889036,0.37743841763889036,0.0
45,49900,99.93028524934144,0.0,0.0,99.94684042154181,99.93028524934144,0.0
45,49901,0.0,0.0,0.0,0.0,0.0,0.0
